444
26186  6124   1017 35031 946000   621  2112   857  2157   377   290   378   239   252   158    87   246
26187  6650    197 35043  10711   756  1507  1086  2999   302   606   707   525   426   179    48    24
26188  2737   1077 35043  10710   280   701   344  1265   147    74   284   205   176    87    53     0
26189  1573    485 35037 958800    50   283   118   769   353   145   280   115    72    28    12     0
26190  2261    348 35031 945700   182   681   254   983   161   190   118   123   101   107    54    26
26191  3056   1263 35043  10503   287   611   535  1340   283   281   328   220   173    82    43    14
26192  5565   2246 35043  10702   354  1322   391  3001   497   255   689   357   386   138    70     7
26193  3818   1063 35043 940500   342   955   582  1640   299   217   354   228   261   161    49    18
26194   122     19 35031 940400    14    34    10    49    15    13     0     0     6     0     0     7
26195   189     45 35006 946000    12    63    27    70    17     0    23     5    11     0     0     9
26196   368     36 35043 940400    25    98    51   164    30    26    39    13    25    19     6     0
26197  6058   2377 35043  10703   428  1630   579  3022   399   327   610   422   434   177    85    12
26198  3467    840 35043  10601   111   845   198  1927   386   275   505   181   212    98    25    32
26199  5322    792 35043  10705   325  1406   569  2519   503   243   560   378   355   174    71     9
26200  3371    307 35043  10602   178   658   202  1960   373   197   549   208   230    82    18     0
26201  5102    602 35043  10712   395  1274   750  2284   399   297   502   342   330   165    89    24
26202  3749    967 35043  10715   173   856   249  1626   845   530   518   204   203    84    36    14
26203  3347    875 35043  10714   247   622   541  1474   463   243   601   198   205    82     9     7
26204  4924    171 35043  10713   419  1278   659  2294   274   341   517   349   354   145    40    17
26205  4922   6944 35043  10716   243   729   396  1901  1653   754   711   256   201   101    26    11
26207  4485   1853 35043  10709   306  1002   400  2178   599   323   543   302   281   124    54     8
26208  3388   1475 35037 958602   232   709   411  1475   561   366   488   244   119    81    33     4
26209  3288   1542 35006 974400   245   825   409  1391   418   295   374   202   170    98    26    31
26210   250    897 35001 940400    12    38    17   154    29    13    64    18     5     6     0     0
26211  1531     49 35001 945900   147   529   241   567    47    66    52    55    69    55    41    51
26212  1284    300 35031 940200   155   436   196   478    19    44    44    54    86    65    21    35
26213   817      0 35001   4800     4    46   372   391     4    12    29    40     0     0     0     0
26214  2295   3738 35001   4716   119   392   412  1149   223   478   423   102    80    54     0    14
26215  2765    337 35001   3803   153   553   219  1630   210   153   448   172   196    58     0    29
26216  3316    420 35001   4718   424   597   709  1396   190   237   290   257   222   119    24     0
26217  2582    366 35001   3720    96   381   105  1700   300   191   603   162   133    31     0     0
26218  5708    363 35001   4717   571  1064  1459  2420   194   526   803   387   352   144    30    22
26219  2460    361 35001   3805   105   426   227  1381   321   280   448   155   127    40    11     3
26220  4680   1501 35019 961600   256   958   661  2191   614   462   520   276   246    96    43    18
26221  6251   1158 35001   3600   396  1178   731  3144   802   501   821   412   352   161    61    21
26222  4569    252 35001   4721   398   928   770  2091   382   227   551   345   310   103    60    13
26223  3643    190 35001   4720   342   703   522  1636   440   295   540   234   199    82    31    12
26224  4786  26484 35001   3734   358   923   720  2004   781   598   682   314   218    89    50    15
26225  5926   1188 35001   4719   521  1193   789  2945   478   473   834   424   404   114    35    18
26226  2698    858 35001   3722   236   609   369  1308   176   164   344   206   156   131     0     0
26227  4886    539 35001   3732   286  1434   325  2660   181   226   457   318   402   164    43     5
26228  4599    511 35001   3721   187   784   308  2678   642   490   915   276   175   123    11     0
26229  2413    238 35001   3731   142   566   142  1362   201   117   285   144   210    51    20    10
26230   509    165 35031 945800    55   138    73   159    84    52    36    18    20    39     0     8
26231  3299   1219 35037 958601   188   667   337  1466   641   488   496   178   184    59    42     5
